lat,lon,ele,time,temperature,lat_glatt,lon_glatt,ele_glatt,time_s,ds,ds_orig,s_orig,dt,s,v,a,dh,phi_rad,phi_grad,rho,F_D,F_H,F_A,F_Antrieb,P,T_drehmoment,I_motor,SOC
47.583114,12.170826,494.888597,2024-08-23 16:21:14.187000+00:00,28.6996806550406,47.583114,12.170826,494.888597,0.0,,,,,,7.461238403785452,0.0767974316736847,,-0.010169758073287495,-0.5826842162684692,1.1876607680444646,18.595453559042664,-7.981088561599716,6.143794533894776,24.137829688475144,246.35012598179446,9.048427297899448,6.419610147357811,1.0
47.58291,12.170766,494.888597,2024-08-23 16:21:16.665000+00:00,28.85415312510336,47.583012,12.170796,494.888597,2.478,11.56292528223861,23.1258514176239,23.1258514176239,2.478,11.56292528223861,8.05228715471636,0.062311175718084554,0.0,-0.010920723108548412,-0.6257113433508128,1.1876607680444646,21.658254354329568,-8.57041313884052,4.984894057446764,24.699544778578492,251.16163761059488,9.129240328996586,6.450449195202954,0.9998889985200993
47.58282,12.170733,494.888597,2024-08-23 16:21:17.800000+00:00,28.6991466938853,47.582947999999995,12.170775,494.888597,3.613,7.28869468693371,10.30908002978211,33.43493144740601,1.1349999999999998,18.85161996917232,7.826390217869371,0.05689916775351371,0.0,-0.011666267779819094,-0.6684279064530912,1.1876607680444646,20.460108723404986,-9.155479270763594,4.551933420281097,25.138675656067555,255.98982426923067,9.221197245290982,6.482203052024245,0.9998379061557656
47.582361,12.170592,494.888597,2024-08-23 16:21:23.180000+00:00,29.92613909225447,47.58280125,12.17072925,494.888597,8.993,16.67474128404249,52.12262430082589,85.55755574823189,5.380000000000001,35.52636125321481,8.27692670002543,0.052481802085416446,0.0,-0.012307328420672482,-0.7051579755859422,1.1876607680444646,22.883537416347124,-9.65854750966714,4.198544166833315,25.5060311382849,260.8029110006663,9.323773396976375,6.514299401296462,0.9995945246920227
47.58204,12.170486,494.421468,2024-08-23 16:21:26.780000+00:00,28.993251387631037,47.582648999999996,12.1706806,494.7951712,12.593,17.31820513695259,36.56830792373178,122.12586367196367,3.5999999999999996,52.8445663901674,8.23195376823156,0.04849067291418013,-0.09342579999997724,-0.012865646129936445,-0.7371472239541794,1.1876677084819898,22.635668503421602,-10.096680535472613,3.8792538331344106,25.817897254293257,265.6435813557132,9.43175779594454,6.546370369722069,0.9994308654327797
47.58181,12.170483,493.881502,2024-08-23 16:21:30.342000+00:00,28.47114453552205,47.58250916666666,12.170647666666667,494.642893,16.155,15.74374152794578,25.575822981050255,147.70168665301392,3.562000000000001,68.58830791811317,9.252914372466035,0.05147790938522919,-0.15227820000001202,-0.01334575114412414,-0.7646552149902028,1.187679021047202,28.598858746361667,-10.473434589159462,4.118232750818335,26.03044964190809,270.46064806614015,9.545797960885569,6.578236405178384,0.9992681454461461
47.581595,12.170488,493.376709,2024-08-23 16:21:33.693000+00:00,29.411272456051595,47.58237857142857,12.170624857142856,494.46200957142855,19.506,14.621957503336091,23.909850552440687,171.61153720545462,3.350999999999999,83.21026542144926,9.903100864794698,0.060419459788009,-0.18088342857146245,-0.013760381163757256,-0.7884117651746069,1.1876924588006217,32.75962599573124,-10.798806340896233,4.83355678304072,26.234723022949318,275.5319639547299,9.65743974030658,6.609869260391165,0.9991143282802324
47.581237,12.170422,492.5298,2024-08-23 16:21:39.198000+00:00,28.38957817501449,47.582235875,12.1705995,494.220483375,25.011,15.980696842557245,40.1144092255026,211.7259464309572,5.504999999999999,99.19096226400652,9.822585543571964,0.06700039940074745,-0.2415261964285378,-0.014085153550774832,-0.8070198522531034,1.187710401916664,32.229586272897336,-11.053663005964513,5.360031952059796,26.570369253422655,281.10160332195414,9.761046878227573,6.641246961922866,0.9988604389432505
47.580869,12.170301,491.644894,2024-08-23 16:21:43.213000+00:00,29.10443179750238,47.582083999999995,12.170566333333333,493.93430677777775,29.026,17.069968282791002,41.91412279791215,253.64006922886935,4.015000000000001,116.26093054679751,10.177328027680947,0.0703448535968,-0.2861765972222656,-0.014339695510853536,-0.8216040322746005,1.1877316624868004,34.60018415786267,-11.253407360515164,5.6275882877439996,26.97453009717484,286.68830177584675,9.857449183202101,6.672217404199901,0.9986744045482654
47.580779,12.170241,491.413231,2024-08-23 16:21:44.221000+00:00,28.020164938060116,47.5819535,12.1705338,493.6821992,30.034,14.7146755616818,10.972895030063437,264.6129642589328,1.0079999999999991,130.9756061084793,10.460413356805397,0.07086108826961618,-0.2521075777777355,-0.014518295748696619,-0.8318370721230419,1.1877503923239912,36.55235869015105,-11.393558236302503,5.668887061569294,27.31543137700584,291.92542792938497,9.944686171592274,6.7025855028727515,0.9986274864497453
47.580629,12.170168,491.042604,2024-08-23 16:21:45.877000+00:00,28.335906975550785,47.581705,12.170468,493.2975999,31.69,28.069228123136263,17.554998080575984,282.1679623395088,1.6560000000000024,159.04483423161557,10.281254593756397,0.0707017991483066,-0.38459929999999076,-0.014595764276174771,-0.8362756917926333,1.187778965942366,35.31184330678571,-11.454349095075413,5.656143931864528,27.729977505769398,297.1145548207224,10.021123001064046,6.732284823182378,0.9985500651742787
